Elapsed Time (s),Current (A),Resistance (Ohm)
0.7992939949035645,1.008077e-06,991987.7152241347
1.2724318504333496,1.008066e-06,991998.5397781495
1.7481629848480225,1.008092e-06,991972.9548493591
2.2224199771881104,1.008121e-06,991944.4193702937
2.6981608867645264,1.008159e-06,991907.0305378417
3.171947956085205,1.008139e-06,991926.708519361
3.6477041244506836,1.008102e-06,991963.1148435377
4.122063875198364,1.008091e-06,991973.9388606781
4.597362995147705,1.008134e-06,991931.6281367358
5.072048902511597,1.008107e-06,991958.1949138336
