Elapsed Time (s),Current (A),Resistance (Ohm)
0.3870971202850342,7.519883e-12,132980792387.32835
0.8596022129058838,2.377992e-12,420522861304.832
1.3321468830108643,6.584385e-12,151874472710.81506
1.8043529987335205,1.32323e-11,75572651768.77791
2.2767179012298584,1.779561e-11,56193634272.72231
2.7487010955810547,3.458695e-10,2891263901.5582466
3.2206900119781494,2.346561e-10,4261555527.4292893
3.693114995956421,8.364799e-11,11954859883.662476
4.165272951126099,9.139243e-11,10941825269.335764
4.636697053909302,1.244335e-13,8036421060245.03
